,0
1,-16.27273235665174
2,-13.561207939096935
3,-10.777506735838543
4,-8.568312337106516
5,-7.344131999541539
6,-5.451068467383358
7,-4.135898020478081
8,-2.8107696044511554
9,-3.2580686005443233
10,-2.7156575220455417
11,-2.4915734297325622
12,-2.8631578843015517
13,-2.085558693030104
14,-2.016666771062326
15,-2.010381298891534
16,-1.9830996391349192
17,-2.0132478927635122
18,-1.9509343438453481
19,-1.9986786561565857
20,-1.9388659957327259
21,-1.9515552034880932
22,-1.8720316083994888
23,-2.0016464515932126
24,-1.872697342976513
25,-1.9563847847957865
26,-1.9406726556013572
27,-1.8895052809441353
28,-1.8763755756557976
32,-1.8845274540671446
64,-1.86379949556807
128,-1.858653431090837
256,-1.824389655116446
