,learning_rounds,learning_time,training_set_loglikelihood
1,100,5.739224,-170392.62339292193
2,100,5.760452,-141937.00803734869
3,100,6.047799,-112777.23059226708
4,100,6.508572,-89621.96382536806
5,100,6.634402,-76811.10990497853
6,100,7.133876,-56996.45968196452
7,100,7.843389,-43207.73003671915
8,100,8.58747,-29331.438232755456
9,100,9.161769,-33996.36540023798
10,100,10.095432,-28375.59902738974
11,100,11.183649,-25990.702534894397
12,100,12.329666,-29845.02202667099
13,100,13.405313,-21770.538615435114
14,100,14.645484,-21050.095756099494
15,100,16.440781,-20998.667639240404
16,100,17.59085,-20722.641414509224
17,100,19.183475,-21030.808823246534
18,100,20.821147,-20404.4416272337
19,100,22.604646,-20882.098575036358
20,100,24.418494,-20281.270912830158
21,100,26.574025,-20408.902939792602
22,100,28.53256,-19611.62349072524
23,100,30.769837,-20921.14000154434
24,100,33.051211,-19616.67525019607
25,100,35.136627,-20516.758450739344
26,100,37.352201,-20325.663908052837
27,100,40.002186,-19774.554913755983
28,100,42.098352,-19660.85366475966
32,100,53.243072,-19731.781071204045
64,100,191.841364,-19547.22497009565
128,100,742.548713,-19488.851241923094
256,100,2937.034192,-19115.47450374453
