,0
1,-37.78346804171641
2,-31.872067353570365
3,-30.369396619982126
4,-27.240391513937354
5,-25.939435294167374
6,-22.861214293984865
7,-21.630842753576367
8,-18.901961396279248
9,-17.549163256611084
10,-17.5600450979039
11,-15.575059114366184
12,-12.20829312353364
13,-13.065443953970679
14,-10.01807871172116
15,-11.036884872416287
16,-12.500525396921395
17,-9.719264884128101
18,-9.443458788859644
19,-9.559953236337206
20,-10.423699265697843
21,-9.267258884835915
22,-9.19513846914304
23,-8.1097651064827
24,-9.383194955460214
25,-8.099233340935204
26,-8.421491390581998
27,-8.657992564628886
28,-7.692433291755813
29,-8.24500919423822
30,-7.965724824535199
31,-7.70924141659361
32,-7.982028716985188
33,-8.843994257754176
34,-8.353650426830011
35,-7.882012976005395
36,-9.13523071633196
37,-8.090628103334522
38,-7.229436942484565
39,-7.73345049535348
40,-7.472097928034423
41,-7.906442921771602
42,-7.149767979957454
43,-7.04815083830088
44,-7.476292270488758
45,-6.914866731900731
46,-7.322808255843581
47,-7.271218321620234
48,-6.74250310016081
49,-7.248664141830016
50,-6.4782195069313016
51,-7.2496316028066845
52,-7.261066313232924
53,-6.735709297934438
54,-6.998379585877176
64,-6.408679016023609
128,-5.503723847992745
256,-5.179610941891031
