,0
1,-16.374571454382348
2,-13.599935866822944
3,-11.000688250243071
4,-9.666860825472147
5,-7.478195968638266
6,-6.68520963600512
7,-4.277819885700701
8,-2.969651792488052
9,-3.278636336603846
10,-2.9139665460048105
11,-2.6407032310008556
12,-2.883261481414347
13,-2.1538759873673317
14,-2.787208381608378
15,-2.059261252906214
16,-2.0718708069789806
17,-2.0777103523543334
18,-2.1150199916967507
19,-2.086659805404928
20,-2.1030609607573925
21,-2.045712530759146
22,-2.00328196845006
23,-2.0411855814416335
24,-1.982396199991226
25,-2.022036694232586
26,-1.9853500404651894
27,-2.0763316187365572
28,-2.081667671379045
29,-1.9814582548965667
30,-2.0008867500201846
31,-1.9422361635956908
32,-1.975198627038041
64,-1.9357532867593497
128,-1.9298505338095349
256,-1.8770577062577882
