,learning_rounds,learning_time,training_set_loglikelihood
1,100,5.784302,-112688.70477045185
2,100,5.919634,-93565.06140666941
3,100,6.101492,-75685.50333170529
4,100,6.32012,-66557.30147757016
5,100,6.392543,-51479.08326565702
6,100,6.92087,-45984.176303871165
7,100,7.451846,-29437.92541400413
8,100,8.126863,-20407.8513973369
9,100,8.792442,-22521.8021813277
10,100,9.573995,-20037.46303635022
11,100,10.63009,-18125.25179806573
12,100,11.626739,-19829.26735139952
13,100,12.710777,-14763.873504015017
14,100,13.921966,-19156.722487281062
15,100,15.270641,-14107.424399326506
16,100,16.806988,-14212.089163720208
17,100,18.360659,-14222.461046219474
18,100,19.680724,-14518.955900392877
19,100,21.283002,-14351.797102500244
20,100,23.127223,-14412.184977122448
21,100,24.77516,-14040.449091214148
22,100,26.808074,-13732.258425755339
23,100,28.965259,-14011.050275807427
24,100,30.866399,-13635.336622561279
25,100,32.884711,-13874.62233402218
26,100,35.149594,-13655.659280430771
27,100,37.295146,-14238.2383831067
28,100,39.70783,-14340.332499111906
29,100,42.348223,-13577.319456583364
30,100,44.933521,-13745.101517899288
31,100,47.521517,-13329.290668696696
32,100,50.369785,-13565.261063119466
64,100,178.727777,-13277.65412187463
128,100,680.475871,-13251.494694220633
256,100,2685.318386,-12940.079173199672
