,0
1,-11.930538993672783
2,-9.6057948801382
3,-6.836004905192515
4,-5.033167231393539
5,-4.001267618633561
6,-4.953087396391708
7,-2.599679119211546
8,-2.545925472031219
9,-2.1773358951098
10,-1.939878685724633
11,-1.9513274910237202
12,-2.1011242685854334
13,-1.9587786623967192
14,-1.969838669754156
15,-2.0582742608011126
16,-1.9643713629747366
17,-1.936703798652206
18,-1.8600424457684446
19,-2.260888357702431
32,-1.7866342152685026
64,-1.7624502204585453
128,-1.7294710828194377
256,-1.7199829789898553
