,learning_rounds,learning_time,training_set_loglikelihood
1,100,20.054006,-1794303.8560607934
2,100,20.577991,-1444768.4658931657
3,100,21.973692,-1028254.307477005
4,100,22.613678,-757503.7962921278
5,100,21.542505,-602499.1448664714
6,100,21.388215,-745218.9649880341
7,100,21.392438,-392379.92174058483
8,100,22.225821,-384129.04133227124
9,100,23.653661,-328574.46061385685
10,100,24.79529,-292610.7938936464
11,100,26.832719,-294268.3627719624
12,100,28.590016,-316899.0572972975
13,100,30.184565,-295367.7639660189
14,100,32.694942,-297071.65228249575
15,100,35.139171,-310383.0442215579
16,100,37.399957,-296262.4069242907
17,100,40.126989,-292114.5799885127
18,100,43.214276,-280623.44327367394
19,100,45.886341,-340846.91621444275
32,100,100.700868,-269345.24026537937
64,100,346.858263,-265521.69821187726
128,100,1326.917568,-260560.08943013428
256,100,5268.552983,-259083.39612507744
