,0
1,-40.048370502368854
2,-37.21149414476822
3,-34.92101811094575
4,-29.74103959442971
5,-27.48599586280117
6,-26.596150952471927
7,-25.96810398256976
8,-23.9342881006478
9,-22.774142219025283
10,-22.926717483458475
11,-21.778082790025447
12,-21.834236055715863
13,-20.646023822026773
14,-20.853961459178755
15,-20.862728894634905
16,-18.909182320855873
17,-19.32229293768808
18,-19.552116413995623
19,-18.088665042498675
20,-17.97821304865151
21,-19.76467577705569
22,-17.93521591452899
23,-17.56167866791301
24,-18.114201028728676
25,-17.29385858326738
26,-17.160191663586524
27,-17.449862660574286
32,-16.71144482610211
64,-15.437733961416894
128,-13.901361104856209
256,-13.075586824296737
