,0
1,-20.913940122692395
2,-17.608781505014417
3,-16.763478674938593
4,-13.21009766875459
5,-12.846175730276272
6,-12.595710204972452
7,-10.650528400448055
8,-9.078557687343807
9,-9.073813299149394
10,-9.268577540055718
11,-8.525002974254937
12,-8.646669730297726
13,-8.041187303741657
14,-8.034247855038565
15,-7.956893113763171
16,-8.12627299578698
17,-8.020545035514035
18,-7.908453083695704
19,-7.84852354396653
20,-7.929998723971418
21,-8.380887544405892
22,-7.818767938106004
32,-7.730177675757723
64,-7.728576840991324
128,-7.712290539275033
