,learning_rounds,learning_time,training_set_loglikelihood
1,100,295.880003,-107453.13952798044
2,100,297.867208,-90702.58157468989
3,100,301.663014,-86266.64706296701
4,100,304.492572,-68429.51979501804
5,100,307.599794,-66402.73837812676
6,100,309.751547,-64950.16969909146
7,100,313.045772,-55293.4580269195
8,100,318.508167,-47256.559689592876
9,100,322.743567,-47232.921276402216
10,100,329.41129,-48055.021532316474
11,100,334.572466,-44373.43203485817
12,100,340.665211,-44866.62463070867
13,100,345.607031,-41856.158546849176
14,100,347.846298,-41835.235653471325
15,100,353.508322,-41393.74930695134
16,100,361.354455,-42283.667185257385
17,100,368.568288,-41794.543526097805
18,100,379.188516,-41207.77460980207
19,100,393.47451,-40859.18654986102
20,100,411.553419,-41333.17847255274
21,100,435.395653,-43498.0079887033
22,100,465.102636,-40640.164508375055
32,100,875.385254,-40170.81240648906
64,100,3273.116188,-39829.769181234784
128,100,12848.317089,-39349.33268084236
